Name,Date,Open,High,Low,Close,Volume
OFT006,20121108,100.25,100.25,100.25,100.25,0
OFT006,20121109,100.22,100.22,100.22,100.22,0
OFT006,20121112,100.23,100.23,100.23,100.23,0
OFT006,20121113,100.37,100.37,100.37,100.37,0
OFT006,20121114,100.43,100.43,100.43,100.43,0
OFT006,20121115,100.45,100.45,100.45,100.45,0
OFT006,20121116,100.37,100.37,100.37,100.37,0
OFT006,20121119,100.58,100.58,100.58,100.58,0
OFT006,20121120,100.58,100.58,100.58,100.58,0
OFT006,20121121,100.50,100.50,100.50,100.50,0
OFT006,20121122,100.41,100.41,100.41,100.41,0
OFT006,20121123,100.57,100.57,100.57,100.57,0
OFT006,20121126,100.64,100.64,100.64,100.64,0
OFT006,20121127,100.80,100.80,100.80,100.80,0
OFT006,20121128,100.79,100.79,100.79,100.79,0
OFT006,20121129,100.81,100.81,100.81,100.81,0
OFT006,20121130,100.89,100.89,100.89,100.89,0
OFT006,20121203,100.98,100.98,100.98,100.98,0
OFT006,20121204,101.14,101.14,101.14,101.14,0
OFT006,20121205,101.30,101.30,101.30,101.30,0
OFT006,20121206,101.46,101.46,101.46,101.46,0
OFT006,20121207,101.24,101.24,101.24,101.24,0
OFT006,20121210,102.97,102.97,102.97,102.97,0
OFT006,20121211,103.28,103.28,103.28,103.28,0
OFT006,20121212,103.36,103.36,103.36,103.36,0
OFT006,20121213,103.31,103.31,103.31,103.31,0
OFT006,20121214,103.71,103.71,103.71,103.71,0
OFT006,20121217,103.91,103.91,103.91,103.91,0
OFT006,20121218,103.81,103.81,103.81,103.81,0
OFT006,20121219,104.47,104.47,104.47,104.47,0
OFT006,20121220,104.51,104.51,104.51,104.51,0
OFT006,20121221,104.65,104.65,104.65,104.65,0
OFT006,20121227,104.40,104.40,104.40,104.40,0
OFT006,20121228,104.23,104.23,104.23,104.23,0
OFT006,20130102,104.50,104.50,104.50,104.50,0
OFT006,20130103,104.76,104.76,104.76,104.76,0
OFT006,20130104,104.38,104.38,104.38,104.38,0
OFT006,20130107,104.17,104.17,104.17,104.17,0
OFT006,20130108,104.09,104.09,104.09,104.09,0
OFT006,20130109,104.13,104.13,104.13,104.13,0
OFT006,20130110,104.46,104.46,104.46,104.46,0
OFT006,20130111,104.56,104.56,104.56,104.56,0
